Adro comune,Adro comune.1
,
Adro – VedutaPanorama,Adro – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Davide Moretti (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°37′04.44″N 9°57′45″E
Altitudine,271 m s.l.m.
Superficie,"14,29 km²"
Abitanti,7 192[1] (30-11-2025)
Densità,"503,29 ab./km²"
Frazioni,Torbiato[2]
Comuni confinanti,"Capriolo, Cazzago San Martino, Corte Franca, Erbusco, Palazzolo sull'Oglio"
Altre informazioni,Altre informazioni
Cod. postale,25030
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017002
Cod. catastale,A060
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 597 GG[4]"
Nome abitanti,adrensi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Adro,Adro
Adro – MappaPosizione del comune di Adro nella provincia di Brescia,Adro – MappaPosizione del comune di Adro nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
