Esine comune,Esine comune.1
,
Esine – Veduta,Esine – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Emanuele Moraschini (lista civica) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°55′35″N 10°15′06″E
Altitudine,286 m s.l.m.
Superficie,"30,31 km²"
Abitanti,5 060[1] (30-11-2025)
Densità,"166,94 ab./km²"
Frazioni,"Plemo, Sacca, Librinì"
Comuni confinanti,"Berzo Inferiore, Bovegno, Cividate Camuno, Darfo Boario Terme, Gianico, Piancogno"
Altre informazioni,Altre informazioni
Cod. postale,25040
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017070
Cod. catastale,D434
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 618 GG[3]"
Nome abitanti,esinesi
Patrono,Conversione di san Paolo
Giorno festivo,25 gennaio
Soprannome,Maia müle
Cartografia,Cartografia
Esine,Esine
Esine – MappaPosizione del comune di Esine nella provincia di Brescia,Esine – MappaPosizione del comune di Esine nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
