Rovato comune,Rovato comune.1
,
Rovato – VedutaVeduta dal Monte Orfano,Rovato – VedutaVeduta dal Monte Orfano
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Tiziano Alessandro Belotti (Lega Nord) dal 15-6-2015 (2º mandato dal 22-9-2020)
Territorio,Territorio
Coordinate,45°34′01.34″N 9°59′54.96″E
Altitudine,192 m s.l.m.
Superficie,"26,09 km²"
Abitanti,19 729[1] (30-11-2025)
Densità,"756,19 ab./km²"
Frazioni,"Duomo, Lodetto, San Giuseppe, Sant'Andrea, Sant'Anna"
Comuni confinanti,"Berlingo, Castrezzato, Cazzago San Martino, Coccaglio, Erbusco, Travagliato, Trenzano"
Altre informazioni,Altre informazioni
Cod. postale,25038
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017166
Cod. catastale,H598
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 495 GG[3]"
Nome abitanti,Rovatesi
Patrono,san Carlo Borromeo
Giorno festivo,4 novembre
Cartografia,Cartografia
Rovato,Rovato
Rovato – MappaPosizione del comune di Rovato nella provincia di Brescia,Rovato – MappaPosizione del comune di Rovato nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
