Palazzolo sull'Oglio comune,Palazzolo sull'Oglio comune.1
,
Palazzolo sull'Oglio – VedutaVeduta di Palazzolo sull'Oglio dalla riva di Mura,Palazzolo sull'Oglio – VedutaVeduta di Palazzolo sull'Oglio dalla riva di Mura
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Gianmarco Cossandi (PD) dal 13-6-2022
Territorio,Territorio
Coordinate,45°36′N 9°53′E
Altitudine,166 m s.l.m.
Superficie,"23,04 km²"
Abitanti,20 606[1] (30-11-2025)
Densità,"894,36 ab./km²"
Frazioni,San Pancrazio[2]
Comuni confinanti,"Adro, Capriolo, Castelli Calepio (BG), Chiari, Cologne, Erbusco, Grumello del Monte (BG), Palosco (BG), Pontoglio, Telgate (BG)"
Altre informazioni,Altre informazioni
Cod. postale,25036
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017133
Cod. catastale,G264
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 383 GG[4]"
Nome abitanti,palazzolesi
Patrono,san Fedele
Giorno festivo,14 maggio
Cartografia,Cartografia
Palazzolo sull'Oglio,Palazzolo sull'Oglio
Palazzolo sull'Oglio – MappaPosizione del comune di Palazzolo sull'Oglio nella provincia di Brescia,Palazzolo sull'Oglio – MappaPosizione del comune di Palazzolo sull'Oglio nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
