Monticelli Brusati comune,Monticelli Brusati comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,"Ugo Buffoli (lista civica ""Per Monticelli"") dal 10-6-2024"
Territorio,Territorio
Coordinate,45°38′N 10°06′E
Altitudine,283 m s.l.m.
Superficie,"10,89 km²"
Abitanti,4 559[1] (30-11-2025)
Densità,"418,64 ab./km²"
Comuni confinanti,"Iseo, Ome, Passirano, Polaveno, Provaglio d'Iseo, Rodengo-Saiano"
Altre informazioni,Altre informazioni
Cod. postale,25040
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017112
Cod. catastale,F672
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 604 GG[3]"
Nome abitanti,Monticellesi
Patrono,Santi Tirso ed Emiliano
Giorno festivo,22 novembre
Cartografia,Cartografia
Monticelli Brusati,Monticelli Brusati
Monticelli Brusati – MappaPosizione del comune di Monticelli Brusati nella provincia di Brescia,Monticelli Brusati – MappaPosizione del comune di Monticelli Brusati nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
