Puegnago del Garda comune,Puegnago del Garda comune.1
,
Puegnago del Garda – Veduta,Puegnago del Garda – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Silvano Zanelli (Forza Italia-Lega Nord) dal 26-5-2019
Territorio,Territorio
Coordinate,45°34′00″N 10°30′36″E
Altitudine,224 (dato provvisorio). m s.l.m.
Superficie,"10,97 km²"
Abitanti,3 484[1] (30-11-2025)
Densità,"317,59 ab./km²"
Frazioni,"Castello (sede comunale), Monteacuto, Mura, Palude, Raffa, San Quirico[2]"
Comuni confinanti,"Gavardo, Manerba del Garda, Muscoline, Polpenazze del Garda, Salò, San Felice del Benaco"
Altre informazioni,Altre informazioni
Cod. postale,25080
Prefisso,0365
Fuso orario,UTC+1
Codice ISTAT,017158
Cod. catastale,H086
Targa,BS
Cl. sismica,zona 2 (sismicità media)[3]
Nome abitanti,puegnaghesi
Patrono,San Michele Arcangelo
Cartografia,Cartografia
Puegnago del Garda,Puegnago del Garda
Puegnago del Garda – MappaPosizione del comune di Puegnago del Garda nella provincia di Brescia,Puegnago del Garda – MappaPosizione del comune di Puegnago del Garda nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
