Anfo comune,Anfo comune.1
,
Anfo – VedutaVista da via S. Petronilla,Anfo – VedutaVista da via S. Petronilla
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Umberto Bondoni (lista civica) dal 6-6-2016 (2º mandato dal 3-10-2021)
Territorio,Territorio
Coordinate,45°46′N 10°30′E
Altitudine,400 m s.l.m.
Superficie,"23,83 km²"
Abitanti,438[1] (30-11-2025)
Densità,"18,38 ab./km²"
Comuni confinanti,"Bagolino, Idro, Lavenone"
Altre informazioni,Altre informazioni
Cod. postale,25070
Prefisso,0365
Fuso orario,UTC+1
Codice ISTAT,017005
Cod. catastale,A288
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 859 GG[3]"
Nome abitanti,anfesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Anfo,Anfo
Anfo – MappaPosizione del comune di Anfo nella provincia di Brescia,Anfo – MappaPosizione del comune di Anfo nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
