Mazzano comune,Mazzano comune.1
,
Mazzano – Veduta,Mazzano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Ferdinando Facchin (lista civica “Mazzano insieme”) dal 10-6-2024
Territorio,Territorio
Coordinate,45°31′N 10°21′E
Altitudine,153 m s.l.m.
Superficie,"15,73 km²"
Abitanti,12 705[1] (30-11-2025)
Densità,"807,69 ab./km²"
Frazioni,"Ciliverghe, Molinetto"
Comuni confinanti,"Bedizzole, Calcinato, Castenedolo, Nuvolera, Rezzato"
Altre informazioni,Altre informazioni
Cod. postale,25080
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017107
Cod. catastale,F063
Targa,BS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 570 GG[3]"
Nome abitanti,mazzanesi
Patrono,San Rocco (Mazzano) Sant'Antonio di Padova (Molinetto) San Filippo Neri (Ciliverghe)
Cartografia,Cartografia
Mazzano,Mazzano
Mazzano – MappaPosizione del comune di Mazzano nella provincia di Brescia La chiesa dei Santi Zeno e Rocco nel capoluogo comunale La chiesa della parrocchia di San Antonio a Molinetto La chiesa della parrocchia di San Filippo Neri a Ciliverghe,Mazzano – MappaPosizione del comune di Mazzano nella provincia di Brescia La chiesa dei Santi Zeno e Rocco nel capoluogo comunale La chiesa della parrocchia di San Antonio a Molinetto La chiesa della parrocchia di San Filippo Neri a Ciliverghe
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
