San Gervasio Bresciano comune,San Gervasio Bresciano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Rosario James Scaburri dal 26-5-2019
Territorio,Territorio
Coordinate,45°18′26″N 10°08′58″E
Altitudine,57 m s.l.m.
Superficie,"10,5 km²"
Abitanti,2 687[1] (30-11-2025)
Densità,"255,9 ab./km²"
Frazioni,Casaccie
Comuni confinanti,"Alfianello, Bassano Bresciano, Cigole, Manerbio, Milzano, Pontevico"
Altre informazioni,Altre informazioni
Cod. postale,25020
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017172
Cod. catastale,H865
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,sangervasini
Patrono,Gervasio e Protasio
Cartografia,Cartografia
San Gervasio Bresciano,San Gervasio Bresciano
San Gervasio Bresciano – MappaPosizione del comune di San Gervasio Bresciano nella provincia di Brescia,San Gervasio Bresciano – MappaPosizione del comune di San Gervasio Bresciano nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
