Malegno comune,Malegno comune.1
,
Malegno – Veduta,Malegno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Matteo Furloni (lista civica “Malegno bene comune”) dal 10-6-2024
Territorio,Territorio
Coordinate,45°57′06″N 10°16′30″E
Altitudine,364 m s.l.m.
Superficie,"6,89 km²"
Abitanti,1 920[1] (30-11-2025)
Densità,"278,66 ab./km²"
Comuni confinanti,"Breno, Cerveno, Cividate Camuno, Losine, Lozio, Ossimo"
Altre informazioni,Altre informazioni
Cod. postale,25053
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017100
Cod. catastale,E851
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 678 GG[3]"
Nome abitanti,malegnesi
Patrono,sant'Andrea
Giorno festivo,30 novembre
Cartografia,Cartografia
Malegno,Malegno
Malegno – MappaPosizione del comune di Malegno nella provincia di Brescia,Malegno – MappaPosizione del comune di Malegno nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
