Lumezzane comune,Lumezzane comune.1
,
Lumezzane – VedutaVista di Lumezzane dalla croce di Conche,Lumezzane – VedutaVista di Lumezzane dalla croce di Conche
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Josehf Facchini (Lega) dal 10-6-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°39′N 10°16′E
Altitudine,460 m s.l.m.
Superficie,"31,72 km²"
Abitanti,21 713[1] (30-11-2025)
Densità,"684,52 ab./km²"
Frazioni,"Faidana, Fontana, Gazzolo, Gombaiolo, Mezzaluna, Montagnone, Mosniga, Piatucco, Pieve, Dosso, Premiano, Renzo, San Sebastiano, Sant'Apollonio, Termine, Tufi, Valle, Villaggio Gnutti, Villaggio Gobbi,Cavallo"
Comuni confinanti,"Agnosine, Bione, Caino, Casto, Concesio, Marcheno, Nave, Sarezzo, Villa Carcina"
Altre informazioni,Altre informazioni
Cod. postale,25065
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017096
Cod. catastale,E738
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 867 GG[3]"
Nome abitanti,lumezzanesi
Patrono,"san Sebastiano per l'omonima frazione (20 gennaio), san Giovanni Battista per la frazione di Pieve (24 giugno) e sant'Apollonio anch'esso per l'omonima frazione (4 luglio)"
Cartografia,Cartografia
Lumezzane,Lumezzane
Lumezzane – MappaPosizione del comune di Lumezzane nella provincia di Brescia,Lumezzane – MappaPosizione del comune di Lumezzane nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
