Castrezzato comune,Castrezzato comune.1
,
Castrezzato – VedutaChiesa di san Pietro Martire,Castrezzato – VedutaChiesa di san Pietro Martire
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Luigi Cuneo (lista civica “Siamo Castrezzato”) dal 10-6-2024
Territorio,Territorio
Coordinate,45°31′N 9°59′E
Altitudine,125 m s.l.m.
Superficie,"13,63 km²"
Abitanti,7 963[1] (30-11-2025)
Densità,"584,23 ab./km²"
Frazioni,"Bargnana, Campagna, Monticelle, Barussa"
Comuni confinanti,"Castelcovati, Chiari, Coccaglio, Comezzano-Cizzago, Rovato, Trenzano"
Altre informazioni,Altre informazioni
Cod. postale,25030
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017045
Cod. catastale,C332
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 410 GG[3]"
Nome abitanti,castrezzatesi
Cartografia,Cartografia
Castrezzato,Castrezzato
Castrezzato – MappaPosizione del comune di Castrezzato nella provincia di Brescia,Castrezzato – MappaPosizione del comune di Castrezzato nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
