Botticino comune,Botticino comune.1
,
Botticino – Veduta,Botticino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Paolo Apostoli (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°32′02″N 10°18′28″E
Altitudine,153 m s.l.m.
Superficie,"18,48 km²"
Abitanti,10 844[1] (30-11-2025)
Densità,"586,8 ab./km²"
Frazioni,"Botticino Mattina (sede comunale), Botticino Sera, San Gallo[2]"
Comuni confinanti,"Brescia, Nave, Nuvolera, Rezzato, Serle"
Altre informazioni,Altre informazioni
Cod. postale,"25080, 25082"
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017023
Cod. catastale,B091
Targa,BS
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 455 GG[4]"
Nome abitanti,botticinesi
Patrono,"santi Faustino e Giovita a Botticino Mattina, santa Maria Assunta a Botticino Sera, san Bartolomeo a san Gallo"
Cartografia,Cartografia
Botticino,Botticino
Botticino – MappaPosizione del comune di Botticino nella provincia di Brescia,Botticino – MappaPosizione del comune di Botticino nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
