Monte Isola comune,Monte Isola comune.1
,
Monte Isola – Veduta,Monte Isola – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Lorenzo Ziliani (centro-destra) dal 10-6-2024
Territorio,Territorio
Coordinate,45°43′N 10°05′E
Altitudine,187 - 600 (262) m s.l.m.
Superficie,"12,8 km²"
Abitanti,1 584[1] (30-11-2025)
Densità,"123,75 ab./km²"
Frazioni,nessuna[2]; vedi elenco località
Comuni confinanti,"Iseo, Marone, Parzanica (BG), Sale Marasino, Sulzano, Tavernola Bergamasca (BG)"
Altre informazioni,Altre informazioni
Cod. postale,25050
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017111
Cod. catastale,F532
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 621 GG[4]"
Nome abitanti,montisolani
Patrono,santi Faustino e Giovita
Giorno festivo,15 febbraio
Cartografia,Cartografia
Monte Isola,Monte Isola
Monte Isola – MappaPosizione del comune di Monte Isola nella provincia di Brescia,Monte Isola – MappaPosizione del comune di Monte Isola nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
