Sonico comune,Sonico comune.1
,
Sonico – Veduta,Sonico – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Gian Battista Pasquini dal 26-5-2014
Territorio,Territorio
Coordinate,46°09′59″N 10°21′14″E
Altitudine,650 m s.l.m.
Superficie,"60,89 km²"
Abitanti,1 189[1] (30-11-2025)
Densità,"19,53 ab./km²"
Frazioni,"Garda, Rino, Comparte"
Comuni confinanti,"Berzo Demo, Cevo, Edolo, Malonno, Saviore dell'Adamello"
Altre informazioni,Altre informazioni
Cod. postale,25048
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017181
Cod. catastale,I831
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 120 GG[3]"
Nome abitanti,sonicesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Sonico,Sonico
Sonico – MappaPosizione del comune di Sonico nella provincia di Brescia,Sonico – MappaPosizione del comune di Sonico nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
