Castel Mella comune,Castel Mella comune.1
,
Castel Mella – Veduta,Castel Mella – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Giorgio Guarneri (Lega) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°30′N 10°09′E
Altitudine,106 m s.l.m.
Superficie,"7,53 km²"
Abitanti,10 940[1] (30-11-2025)
Densità,"1 452,86 ab./km²"
Frazioni,"Colorne, Onzato"
Comuni confinanti,"Azzano Mella, Brescia, Capriano del Colle, Flero, Roncadelle, Torbole Casaglia"
Altre informazioni,Altre informazioni
Cod. postale,25030
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017042
Cod. catastale,C208
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 410 GG[3]"
Nome abitanti,castelmellesi
Patrono,san Siro Vescovo
Giorno festivo,9 dicembre
Cartografia,Cartografia
Castel Mella,Castel Mella
Castel Mella – MappaPosizione del comune di Castel Mella nella provincia di Brescia,Castel Mella – MappaPosizione del comune di Castel Mella nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
