Verolavecchia comune,Verolavecchia comune.1
,
Verolavecchia – VedutaCampanile della chiesa Parrocchiale,Verolavecchia – VedutaCampanile della chiesa Parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Maura Gualdi (lista civica “Verolavecchia qui e ora”) dal 10-6-2024
Territorio,Territorio
Coordinate,45°20′N 10°03′E
Altitudine,68 m s.l.m.
Superficie,"21,06 km²"
Abitanti,3 894[1] (30-11-2025)
Densità,"184,9 ab./km²"
Frazioni,"Monticelli d'Oglio, Villanuova"
Comuni confinanti,"Borgo San Giacomo, Corte de' Cortesi con Cignone (CR), Pontevico, Quinzano d'Oglio, Robecco d'Oglio (CR), Verolanuova"
Altre informazioni,Altre informazioni
Cod. postale,25029
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017196
Cod. catastale,L778
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 479 GG[3]"
Nome abitanti,verolavecchiesi
Cartografia,Cartografia
Verolavecchia,Verolavecchia
Verolavecchia – MappaPosizione del comune di Verolavecchia nella provincia di Brescia,Verolavecchia – MappaPosizione del comune di Verolavecchia nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
