Cologne comune,Cologne comune.1
,
Cologne – VedutaLa parrocchiale dei Santi Gervasio e Protasio,Cologne – VedutaLa parrocchiale dei Santi Gervasio e Protasio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Francesca Boglioni (Cambiamo Cologne) dal 10-06-2024
Territorio,Territorio
Coordinate,45°35′05.57″N 9°56′36.24″E
Altitudine,187 m s.l.m.
Superficie,"13,79 km²"
Abitanti,7 611[1] (30-11-2025)
Densità,"551,92 ab./km²"
Comuni confinanti,"Chiari, Coccaglio, Erbusco, Palazzolo sull'Oglio"
Altre informazioni,Altre informazioni
Cod. postale,25033
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017059
Cod. catastale,C893
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 383 GG[3]"
Nome abitanti,colognesi
Patrono,santi Gervasio e Protasio
Giorno festivo,19 giugno
Cartografia,Cartografia
Cologne,Cologne
Cologne – MappaPosizione del comune di Cologne nella provincia di Brescia,Cologne – MappaPosizione del comune di Cologne nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
