Tavernole sul Mella comune,Tavernole sul Mella comune.1
,
Tavernole sul Mella – Veduta,Tavernole sul Mella – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Gerardo Ferri (lista civica Tavernole Cimmo Pezzoro) dal 26-5-2014
Territorio,Territorio
Coordinate,45°44′46.25″N 10°14′22.27″E
Altitudine,475 m s.l.m.
Superficie,"19,81 km²"
Abitanti,1 200[1] (30-11-2025)
Densità,"60,58 ab./km²"
Frazioni,"Cimmo, Pezzoro"
Comuni confinanti,"Lodrino, Marcheno, Marmentino, Pezzaze, Zone"
Altre informazioni,Altre informazioni
Cod. postale,25060
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017183
Cod. catastale,C698
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 883 GG[3]"
Nome abitanti,tavernolesi
Cartografia,Cartografia
Tavernole sul Mella,Tavernole sul Mella
Tavernole sul Mella – MappaPosizione del comune di Tavernole sul Mella nella provincia di Brescia,Tavernole sul Mella – MappaPosizione del comune di Tavernole sul Mella nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
