Desenzano del Garda comune,Desenzano del Garda comune.1
,
Desenzano del Garda – VedutaPorto vecchio di Desenzano del Garda,Desenzano del Garda – VedutaPorto vecchio di Desenzano del Garda
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Guido Malinverno (centro-destra) dal 26-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,45°28′08″N 10°32′06″E
Altitudine,67 m s.l.m.
Superficie,"59,26 km²"
Abitanti,29 370[1] (30-11-2025)
Densità,"495,61 ab./km²"
Frazioni,3 centri abitati e 11 nuclei abitativi (vedi elenco)
Comuni confinanti,"Lonato del Garda, Peschiera del Garda (VR), Pozzolengo, Sirmione, Padenghe sul Garda"
Altre informazioni,Altre informazioni
Cod. postale,25015
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017067
Cod. catastale,D284
Targa,BS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 229 GG[3]"
Nome abitanti,desenzanesi
Patrono,sant'Angela Merici
Giorno festivo,27 gennaio
Cartografia,Cartografia
Desenzano del Garda,Desenzano del Garda
Desenzano del Garda – MappaPosizione del comune di Desenzano del Garda nella provincia di Brescia,Desenzano del Garda – MappaPosizione del comune di Desenzano del Garda nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
