Borgosatollo comune,Borgosatollo comune.1
,
Borgosatollo – VedutaChiesa della Santissima Trinità,Borgosatollo – VedutaChiesa della Santissima Trinità
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Elisa Chiaf (lista civica “Partecipare per Borgosatollo”) dal 10-06-2024
Data di istituzione,1846
Territorio,Territorio
Coordinate,45°28′34″N 10°14′24″E
Altitudine,112 m s.l.m.
Superficie,"8,42 km²"
Abitanti,9 101[1] (30-11-2025)
Densità,"1 080,88 ab./km²"
Frazioni,"Gerole, Piffione"
Comuni confinanti,"Brescia, Castenedolo, Ghedi, Montirone, Poncarale, San Zeno Naviglio"
Altre informazioni,Altre informazioni
Lingue,Italiano Lingua lombarda Dialetto bresciano
Cod. postale,25010
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017021
Cod. catastale,B040
Targa,BS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 399 GG[3]"
Nome abitanti,borgosatollesi
Patrono,Santa Maria Annunciata
Giorno festivo,25 marzo
Cartografia,Cartografia
Borgosatollo,Borgosatollo
Borgosatollo – MappaPosizione del comune di Borgosatollo nella provincia di Brescia,Borgosatollo – MappaPosizione del comune di Borgosatollo nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
