Tremosine sul Garda comune,Tremosine sul Garda comune.1
,
Tremosine sul Garda – VedutaPanorama di Tremosine,Tremosine sul Garda – VedutaPanorama di Tremosine
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Battista Girardi (lista civica di centro-sinistra) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°46′20″N 10°45′30″E
Altitudine,414 m s.l.m.
Superficie,"72,69 km²"
Acque interne,"16,8 km² (23,11%)"
Abitanti,2 141[1] (30-11-2025)
Densità,"29,45 ab./km²"
Frazioni,18 frazioni (vedi elenco)
Comuni confinanti,"Brenzone sul Garda (VR), Limone sul Garda, Magasa, Malcesine (VR), Ledro (TN), Tignale"
Altre informazioni,Altre informazioni
Cod. postale,25010
Prefisso,0365
Fuso orario,UTC+1
Codice ISTAT,017189
Cod. catastale,L372
Targa,BS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 801 GG[3]"
Nome abitanti,tremosinesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Tremosine sul Garda,Tremosine sul Garda
Tremosine sul Garda – MappaPosizione del comune di Tremosine nella provincia di Brescia,Tremosine sul Garda – MappaPosizione del comune di Tremosine nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
