Brandico comune,Brandico comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Michele Tomasoni (lista civica “Brandico Conta”) dal 10-06-2024
Territorio,Territorio
Coordinate,45°27′N 10°03′E
Altitudine,99 m s.l.m.
Superficie,"8,38 km²"
Abitanti,1 763[1] (30-11-2025)
Densità,"210,38 ab./km²"
Frazioni,"Castelgonelle, Ognato"
Comuni confinanti,"Corzano, Longhena, Maclodio, Mairano, Trenzano"
Altre informazioni,Altre informazioni
Cod. postale,25030
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017026
Cod. catastale,B120
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 410 GG[3]"
Nome abitanti,brandichesi
Patrono,santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Brandico,Brandico
Brandico – MappaPosizione del comune di Brandico nella provincia di Brescia,Brandico – MappaPosizione del comune di Brandico nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
