Irma comune,Irma comune.1
,
Irma – VedutaVeduta di Irma da Vaghezza,Irma – VedutaVeduta di Irma da Vaghezza
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Mauro Bertelli (lista civica Per Irma) dall'8-6-2009
Territorio,Territorio
Coordinate,45°46′N 10°17′E
Altitudine,804 m s.l.m.
Superficie,"4,93 km²"
Abitanti,135[1] (30-11-2025)
Densità,"27,38 ab./km²"
Comuni confinanti,"Bovegno, Marmentino"
Altre informazioni,Altre informazioni
Cod. postale,25061
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017084
Cod. catastale,E325
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 360 GG[3]"
Nome abitanti,irmensi
Patrono,Santissima Trinità
Giorno festivo,Festa della Santa Croce
Cartografia,Cartografia
Irma,Irma
Irma – MappaPosizione del comune di Irma nella provincia di Brescia,Irma – MappaPosizione del comune di Irma nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
