Orzivecchi comune,Orzivecchi comune.1
,
Orzivecchi – Veduta,Orzivecchi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Gianluigi Sturla (lista civica “Uniti per Orzivecchi”) dal 10-6-2024
Data di istituzione,1999
Territorio,Territorio
Coordinate,45°25′N 9°58′E
Altitudine,91 m s.l.m.
Superficie,"9,94 km²"
Abitanti,2 514[1] (30-11-2025)
Densità,"252,92 ab./km²"
Frazioni,nessuna
Comuni confinanti,"Comezzano-Cizzago, Orzinuovi, Pompiano, Roccafranca"
Altre informazioni,Altre informazioni
Cod. postale,25030
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017126
Cod. catastale,G150
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 410 GG[3]"
Nome abitanti,Orceani
Patrono,SS. Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Orzivecchi,Orzivecchi
Orzivecchi – MappaPosizione del comune di Orzivecchi nella provincia di Brescia,Orzivecchi – MappaPosizione del comune di Orzivecchi nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
