Ponte di Legno comune,Ponte di Legno comune.1
,
Ponte di Legno – VedutaPanorama,Ponte di Legno – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Ivan Faustinelli (lista civica) dall'11-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,46°15′34″N 10°30′34″E
Altitudine,1 260 m s.l.m.
Superficie,"100,43 km²"
Abitanti,1 750[1] (30-11-2025)
Densità,"17,43 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Edolo, Peio (TN), Saviore dell'Adamello, Sondalo (SO), Temù, Valfurva (SO), Vermiglio (TN), Vezza d'Oglio, Vione."
Altre informazioni,Altre informazioni
Cod. postale,25056
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017148
Cod. catastale,G844
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 4 007 GG[3]"
Nome abitanti,dalignesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Ponte di Legno,Ponte di Legno
Ponte di Legno – MappaPosizione del comune di Ponte di Legno nella provincia di Brescia,Ponte di Legno – MappaPosizione del comune di Ponte di Legno nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
