Ghedi comune,Ghedi comune.1
,
Ghedi – Veduta,Ghedi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Federico Casali (Lega) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°24′07.2″N 10°16′49.08″E
Altitudine,85 m s.l.m.
Superficie,"60,84 km²"
Abitanti,18 544[1] (30-11-2025)
Densità,"304,8 ab./km²"
Frazioni,"Belvedere, Ponterosso, Fienil Nuovo"
Comuni confinanti,"Bagnolo Mella, Borgosatollo, Calvisano, Castenedolo, Gottolengo, Isorella, Leno, Montichiari, Montirone"
Altre informazioni,Altre informazioni
Cod. postale,25016
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017078
Cod. catastale,D999
Targa,BS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 570 GG[3]"
Nome abitanti,ghedesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Ghedi,Ghedi
Ghedi – MappaPosizione del comune di Ghedi nella provincia di Brescia,Ghedi – MappaPosizione del comune di Ghedi nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
