Leno comune,Leno comune.1
,
Leno – VedutaVilla Badia,Leno – VedutaVilla Badia
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Cristina Tedaldi (centro-sinistra) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°22′13″N 10°13′00″E
Altitudine,66 m s.l.m.
Superficie,"58,45 km²"
Abitanti,14 474[1] (30-11-2025)
Densità,"247,63 ab./km²"
Frazioni,"Castelletto, Milzanello, Porzano"
Comuni confinanti,"Bagnolo Mella, Cigole, Ghedi, Gottolengo, Manerbio, Offlaga, Pavone del Mella"
Altre informazioni,Altre informazioni
Cod. postale,25024
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017088
Cod. catastale,E526
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 399 GG[3]"
Nome abitanti,lenesi
Patrono,santi Vitale e Marziale
Giorno festivo,10 luglio
Cartografia,Cartografia
Leno,Leno
Leno – MappaPosizione del comune di Leno nella provincia di Brescia,Leno – MappaPosizione del comune di Leno nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
