San Paolo comune,San Paolo comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Alberto Pedretti (lista civica Autonomia municipale) dal 9-6-2024
Territorio,Territorio
Coordinate,45°22′18″N 10°01′25″E
Altitudine,72 m s.l.m.
Superficie,"18,82 km²"
Abitanti,4 494[1] (30-11-2025)
Densità,"238,79 ab./km²"
Frazioni,"Cremezzano, Oriano, Pedergnaga, Scarpizzolo, Trignano"
Comuni confinanti,"Barbariga, Borgo San Giacomo, Offlaga, Orzinuovi, Verolanuova"
Altre informazioni,Altre informazioni
Cod. postale,25020
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017138
Cod. catastale,G407
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 410 GG[3]"
Nome abitanti,sanpaolesi
Patrono,san Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
San Paolo,San Paolo
San Paolo – MappaPosizione del comune di San Paolo nella provincia di Brescia,San Paolo – MappaPosizione del comune di San Paolo nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
