Calcinato comune,Calcinato comune.1
,
Calcinato – Veduta,Calcinato – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Vincenza Corsini (lista civica “Calcinato in-patto”) dal 10-6-2024
Territorio,Territorio
Coordinate,45°27′29.16″N 10°24′52.56″E
Altitudine,171 m s.l.m.
Superficie,"33,3 km²"
Abitanti,13 142[1] (30-11-2025)
Densità,"394,65 ab./km²"
Frazioni,"Calcinatello, Ponte San Marco, Prati"
Comuni confinanti,"Bedizzole, Castenedolo, Castiglione delle Stiviere (MN), Lonato del Garda, Mazzano, Montichiari"
Altre informazioni,Altre informazioni
Cod. postale,25011
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017032
Cod. catastale,B394
Targa,BS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 570 GG[3]"
Nome abitanti,calcinatesi
Patrono,san Vincenzo
Giorno festivo,22 gennaio
Cartografia,Cartografia
Calcinato,Calcinato
Calcinato – MappaPosizione del comune di Calcinato nella provincia di Brescia,Calcinato – MappaPosizione del comune di Calcinato nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
