Paderno Franciacorta comune,Paderno Franciacorta comune.1
,
Paderno Franciacorta – Veduta,Paderno Franciacorta – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Nicola Vianelli (lista civica Impegno per Paderno) dal 10-6-2024
Territorio,Territorio
Coordinate,45°35′20″N 10°04′39″E
Altitudine,183 m s.l.m.
Superficie,"5,61 km²"
Abitanti,3 668[1] (30-11-2025)
Densità,"653,83 ab./km²"
Frazioni,Tre cortili
Comuni confinanti,"Castegnato, Passirano, Rodengo-Saiano"
Altre informazioni,Altre informazioni
Cod. postale,25050
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017130
Cod. catastale,G217
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 446 GG[3]"
Nome abitanti,padernesi
Patrono,san Gottardo[4]
Giorno festivo,4 maggio
Cartografia,Cartografia
Paderno Franciacorta,Paderno Franciacorta
Paderno Franciacorta – MappaPosizione del comune di Paderno Franciacorta nella provincia di Brescia,Paderno Franciacorta – MappaPosizione del comune di Paderno Franciacorta nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
