Barghe comune,Barghe comune.1
,
Barghe – VedutaVeduta di Barghe da via Roma,Barghe – VedutaVeduta di Barghe da via Roma
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Giovan Battista Guerra (centro-sinistra) dal 27-5-2013 (3º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,45°41′N 10°24′E
Altitudine,295 m s.l.m.
Superficie,"5,49 km²"
Abitanti,1 142[1] (30-11-2025)
Densità,"208,01 ab./km²"
Frazioni,"Fossane, Ponte Re, Vrange"
Comuni confinanti,"Preseglie, Provaglio Val Sabbia, Sabbio Chiese, Vestone"
Altre informazioni,Altre informazioni
Cod. postale,25070
Prefisso,0365
Fuso orario,UTC+1
Codice ISTAT,017012
Cod. catastale,A661
Targa,BS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 631 GG[3]"
Nome abitanti,barghensi
Patrono,san Gottardo
Giorno festivo,5 maggio
Cartografia,Cartografia
Barghe,Barghe
Barghe – MappaPosizione del comune di Barghe nella provincia di Brescia,Barghe – MappaPosizione del comune di Barghe nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
