Rodengo-Saiano comune,Rodengo-Saiano comune.1
,
Rodengo-Saiano – VedutaChiostro dell'abbazia di San Nicola,Rodengo-Saiano – VedutaChiostro dell'abbazia di San Nicola
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Rosa Vitale (centro-sinistra) dal 4-10-2021
Data di istituzione,18 ottobre 1927
Territorio,Territorio
Coordinate,45°35′49.94″N 10°06′31.23″E
Altitudine,176- max 600 m s.l.m.
Superficie,"12,86 km²"
Abitanti,9 871[1] (30-11-2025)
Densità,"767,57 ab./km²"
Frazioni,"Saiano, Padergnone Località: Bettola, Bettolino, Corneto, Delma, Moie, Muraga, Pedenaga, Ponte Cingoli, Rodengo"
Comuni confinanti,"Castegnato, Gussago, Ome, Paderno Franciacorta, Passirano, Monticelli Brusati"
Altre informazioni,Altre informazioni
Cod. postale,25050
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017163
Cod. catastale,H477
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 446 GG[3]"
Nome abitanti,rodenghesi o saianesi
Patrono,san Nicola da Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Rodengo-Saiano,Rodengo-Saiano
Rodengo-Saiano – MappaPosizione del comune di Rodengo-Saiano nella provincia di Brescia,Rodengo-Saiano – MappaPosizione del comune di Rodengo-Saiano nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
