Odolo comune,Odolo comune.1
,
Odolo – VedutaVeduta di Odolo dalla chiesa parrocchiale di San Zenone,Odolo – VedutaVeduta di Odolo dalla chiesa parrocchiale di San Zenone
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Marino Zinelli (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,45°39′N 10°23′E
Altitudine,345 m s.l.m.
Superficie,"6,54 km²"
Abitanti,1 936[1] (30-11-2025)
Densità,"296,02 ab./km²"
Frazioni,"Botteghe, Brete, Cadella, Cagnatico, Casa d'Odolo, Cereto, Cete, Colombaio, Forno, Gnavla, Pamparane, Vico"
Comuni confinanti,"Agnosine, Preseglie, Sabbio Chiese, Vallio Terme"
Altre informazioni,Altre informazioni
Cod. postale,25076
Prefisso,0365
Fuso orario,UTC+1
Codice ISTAT,017121
Cod. catastale,G001
Targa,BS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 703 GG[3]"
Nome abitanti,odolesi
Patrono,san Zeno
Giorno festivo,12 aprile
Cartografia,Cartografia
Odolo,Odolo
Odolo – MappaPosizione del comune di Odolo nella provincia di Brescia,Odolo – MappaPosizione del comune di Odolo nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
