Artogne comune,Artogne comune.1
,
Artogne – Veduta,Artogne – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Barbara Bonicelli ([Lista Civica]) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°51′02″N 10°09′43″E
Altitudine,266 m s.l.m.
Superficie,"21,02 km²"
Abitanti,3 710[1] (30-11-2025)
Densità,"176,5 ab./km²"
Frazioni,"Acquebone, Montecampione, Piazze"
Comuni confinanti,"Bovegno, Darfo Boario Terme, Gianico, Pezzaze, Pian Camuno, Pisogne, Rogno (BG)"
Altre informazioni,Altre informazioni
Cod. postale,25040
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017007
Cod. catastale,A451
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 559 GG[3]"
Nome abitanti,artognesi
Patrono,santi Cornelio e Cipriano
Giorno festivo,16 settembre
Cartografia,Cartografia
Artogne,Artogne
Artogne – MappaPosizione del comune di Artogne nella provincia di Brescia,Artogne – MappaPosizione del comune di Artogne nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
