Gardone Riviera comune,Gardone Riviera comune.1
,
Gardone Riviera – VedutaPanorama di Gardone Riviera,Gardone Riviera – VedutaPanorama di Gardone Riviera
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Adelio Zeni (lista civica Gardone Riviera) dal 10-6-2024
Territorio,Territorio
Coordinate,45°37′N 10°34′E
Altitudine,71 m s.l.m.
Superficie,"21,39 km²"
Abitanti,2 575[1] (30-11-2025)
Densità,"120,38 ab./km²"
Frazioni,"Fasano, Morgnaga, San Michele, Tresnico"
Comuni confinanti,"Salò, Torri del Benaco (VR), Toscolano Maderno, Vobarno"
Altre informazioni,Altre informazioni
Cod. postale,25083
Prefisso,0365
Fuso orario,UTC+1
Codice ISTAT,017074
Cod. catastale,D917
Targa,BS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 355 GG[3]"
Nome abitanti,gardonesi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Gardone Riviera,Gardone Riviera
Gardone Riviera – MappaPosizione del comune di Gardone Riviera nella provincia di Brescia,Gardone Riviera – MappaPosizione del comune di Gardone Riviera nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
