Nuvolera comune,Nuvolera comune.1
Nuvolera – VedutaVeduta di Nuvolera dal Monte Camprelle,Nuvolera – VedutaVeduta di Nuvolera dal Monte Camprelle
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Andrea Agnelli (centro-sinistra) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°32′00″N 10°22′20″E
Altitudine,165 m s.l.m.
Superficie,"13,31 km²"
Abitanti,4 771[1] (30-11-2025)
Densità,"358,45 ab./km²"
Comuni confinanti,"Bedizzole, Botticino, Mazzano, Nuvolento, Rezzato, Serle"
Altre informazioni,Altre informazioni
Cod. postale,25080
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017120
Cod. catastale,F990
Targa,BS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 417 GG[3]"
Nome abitanti,nuvoleresi
Patrono,san Lorenzo Martire
Cartografia,Cartografia
Nuvolera,Nuvolera
Nuvolera – MappaPosizione del comune di Nuvolera nella provincia di Brescia,Nuvolera – MappaPosizione del comune di Nuvolera nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
