Lozio comune,Lozio comune.1
,
Lozio – Veduta,Lozio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Natale Gemmi (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°59′11″N 10°15′43″E
Altitudine,975 m s.l.m.
Superficie,"23,74 km²"
Abitanti,363[1] (30-11-2025)
Densità,"15,29 ab./km²"
Frazioni,"Laveno, Sommaprada, Sucinva, Villa"
Comuni confinanti,"Cerveno, Malegno, Ossimo, Schilpario (BG)"
Altre informazioni,Altre informazioni
Cod. postale,25040
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017095
Cod. catastale,E706
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 604 GG[3]"
Nome abitanti,loziesi
Patrono,santi Nazario e Celso (Laveno) santi Pietro e Paolo (Villa)
Giorno festivo,29 giugno
Cartografia,Cartografia
Lozio,Lozio
Lozio – MappaPosizione del comune di Lozio nella provincia di Brescia,Lozio – MappaPosizione del comune di Lozio nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
