Mairano comune,Mairano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Filippo Ferrari (centrosinistra) dal 10-6-2024
Territorio,Territorio
Coordinate,45°27′N 10°05′E
Altitudine,96 m s.l.m.
Superficie,"11,53 km²"
Abitanti,3 502[1] (30-11-2025)
Densità,"303,73 ab./km²"
Frazioni,Pievedizio
Comuni confinanti,"Azzano Mella, Brandico, Dello, Lograto, Longhena, Maclodio"
Altre informazioni,Altre informazioni
Cod. postale,25030
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017099
Cod. catastale,E841
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 410 GG[3]"
Nome abitanti,Mairanesi
Patrono,sant'Andrea
Giorno festivo,30 novembre
Cartografia,Cartografia
Mairano,Mairano
Mairano – MappaPosizione del comune di Mairano nella provincia di Brescia,Mairano – MappaPosizione del comune di Mairano nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
