Valvestino comune,Valvestino comune.1
,
Valvestino – VedutaVeduta di Turano,Valvestino – VedutaVeduta di Turano
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Flavio Corsetti (Lista civica “Uniti per la Valvestino”) dal 10-6-2024
Data di istituzione,10-1-1932
Territorio,Territorio
Coordinate,45°46′N 10°36′E
Altitudine,680 m s.l.m.
Superficie,"31,12 km²"
Abitanti,167[1] (30-11-2025)
Densità,"5,37 ab./km²"
Frazioni,"Armo, Bollone, Droane, Moerna, Persone e Turano"
Comuni confinanti,"Bondone (TN), Capovalle, Gargnano, Idro, Magasa, Tignale"
Altre informazioni,Altre informazioni
Cod. postale,25080
Prefisso,0365
Fuso orario,UTC+1
Codice ISTAT,017194
Cod. catastale,L468
Targa,BS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona F, 3 182 GG[3]"
Nome abitanti,valvestinesi
Patrono,san Giovanni Battista
Giorno festivo,29 agosto
Cartografia,Cartografia
Valvestino,Valvestino
Valvestino – MappaPosizione del comune di Valvestino nella provincia di Brescia,Valvestino – MappaPosizione del comune di Valvestino nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
