Corteno Golgi comune,Corteno Golgi comune.1
,
Corteno Golgi – Veduta,Corteno Golgi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Giuseppino Lippi (lista civica “Corteno con Orgoglio”) dal 10-6-2024
Territorio,Territorio
Coordinate,46°10′01″N 10°14′40″E
Altitudine,925 m s.l.m.
Superficie,"82,61 km²"
Abitanti,1 905[1] (30-11-2025)
Densità,"23,06 ab./km²"
Frazioni,"Pisognéto, Galleno, Doverio, Lombro, Megno, Piazza, Ronco, San Pietro in Aprica, Sant'Antonio, Santicolo"
Comuni confinanti,"Aprica (SO), Edolo, Malonno, Paisco Loveno, Sernio (SO), Teglio (SO), Tirano (SO), Villa di Tirano (SO)"
Altre informazioni,Altre informazioni
Cod. postale,25040
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017063
Cod. catastale,D064
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 532 GG[3]"
Nome abitanti,cortenesi
Cartografia,Cartografia
Corteno Golgi,Corteno Golgi
Corteno Golgi – MappaPosizione del comune di Corteno Golgi nella provincia di Brescia,Corteno Golgi – MappaPosizione del comune di Corteno Golgi nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
