Caino comune,Caino comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Cesare Sambrici[1] (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,45°37′N 10°19′E
Altitudine,385 m s.l.m.
Superficie,"17,31 km²"
Abitanti,2 178[2] (30-11-2025)
Densità,"125,82 ab./km²"
Comuni confinanti,"Agnosine, Lumezzane, Nave, Serle, Vallio Terme"
Altre informazioni,Altre informazioni
Cod. postale,25070
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017031
Cod. catastale,B365
Targa,BS
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 760 GG[4]"
Nome abitanti,cainesi
Patrono,San Zenone
Giorno festivo,21 maggio
Cartografia,Cartografia
Caino,Caino
Caino – MappaPosizione del comune di Caino nella provincia di Brescia,Caino – MappaPosizione del comune di Caino nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
