Malonno comune,Malonno comune.1
,
Malonno – Veduta,Malonno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Giovanni Ghirardi (lista civica) dall'11-6-2018
Territorio,Territorio
Coordinate,46°07′N 10°19′E
Altitudine,596 m s.l.m.
Superficie,"31,46 km²"
Abitanti,3 004[1] (30-11-2025)
Densità,"95,49 ab./km²"
Frazioni,"Landò, Lava, Lezza, Loritto, Moscio, Nazio, Odecla, Zazza"
Comuni confinanti,"Berzo Demo, Corteno Golgi, Edolo, Paisco Loveno, Sonico"
Altre informazioni,Altre informazioni
Cod. postale,25040
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017101
Cod. catastale,E865
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 053 GG[3]"
Nome abitanti,malonnesi
Patrono,santi Faustino e Giovita
Giorno festivo,15 febbraio
Cartografia,Cartografia
Malonno,Malonno
Malonno – MappaPosizione del comune di Malonno nella provincia di Brescia,Malonno – MappaPosizione del comune di Malonno nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
