Ceto comune,Ceto comune.1
,
Ceto – Veduta,Ceto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Marina Lanzetti (lista civica Impegno civico) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,46°00′12″N 10°21′10″E
Altitudine,453 m s.l.m.
Superficie,"32,3 km²"
Abitanti,1 777[1] (30-11-2025)
Densità,"55,02 ab./km²"
Frazioni,"Badetto, Nadro"
Comuni confinanti,"Braone, Breno, Capo di Ponte, Cerveno, Cevo, Cimbergo, Ono San Pietro, Valdaone (TN)"
Altre informazioni,Altre informazioni
Cod. postale,25040
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017050
Cod. catastale,C585
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 857 GG[3]"
Nome abitanti,cetesi
Patrono,sant'Andrea Apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Ceto,Ceto
Ceto – MappaPosizione del comune di Ceto nella provincia di Brescia,Ceto – MappaPosizione del comune di Ceto nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
