Capriolo comune,Capriolo comune.1
,
Capriolo – VedutaIl castello,Capriolo – VedutaIl castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Luigi Vezzoli (Lega) dal 27-5-2019
Territorio,Territorio
Coordinate,45°38′20″N 9°56′02″E
Altitudine,218 m s.l.m.
Superficie,13 km²
Abitanti,9 408[1] (30-11-2025)
Densità,"723,69 ab./km²"
Comuni confinanti,"Adro, Castelli Calepio (BG), Corte Franca, Credaro (BG), Iseo, Palazzolo sull'Oglio, Paratico"
Altre informazioni,Altre informazioni
Cod. postale,25031
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017038
Cod. catastale,B711
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 521 GG[3]"
Nome abitanti,capriolesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Capriolo,Capriolo
Capriolo – MappaPosizione del comune di Capriolo nella provincia di Brescia,Capriolo – MappaPosizione del comune di Capriolo nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
