Mura comune,Mura comune.1
,
Mura – VedutaLaghetto di Bongi visto dalla diga,Mura – VedutaLaghetto di Bongi visto dalla diga
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Gabriele Giovannetti Melchiorri (commissario) dal 15-1-2026
Territorio,Territorio
Coordinate,45°43′N 10°21′E
Altitudine,691 m s.l.m.
Superficie,"12,51 km²"
Abitanti,768[1] (30-11-2025)
Densità,"61,39 ab./km²"
Comuni confinanti,"Casto, Pertica Alta, Vestone"
Altre informazioni,Altre informazioni
Cod. postale,25070
Prefisso,0365
Fuso orario,UTC+1
Codice ISTAT,017115
Cod. catastale,F806
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 197 GG[3]"
Nome abitanti,"savallesi, murensi[4]"
Patrono,Santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Mura,Mura
Mura – MappaPosizione del comune di Mura nella provincia di Brescia,Mura – MappaPosizione del comune di Mura nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
