Cerveno comune,Cerveno comune.1
,
Cerveno – Veduta,Cerveno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Luigi Simone Mondoni (lista civica “Uniti per Cerveno”) dal 10-6-2024
Territorio,Territorio
Coordinate,46°00′12″N 10°19′36″E
Altitudine,500 m s.l.m.
Superficie,"21,55 km²"
Abitanti,704[1] (30-11-2025)
Densità,"32,67 ab./km²"
Comuni confinanti,"Braone, Ceto, Losine, Lozio, Malegno, Ono San Pietro, Paisco Loveno, Schilpario (BG)"
Altre informazioni,Altre informazioni
Cod. postale,25040
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017049
Cod. catastale,C549
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 924 GG[3]"
Nome abitanti,cervenesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Cerveno,Cerveno
Cerveno – MappaPosizione del comune di Cerveno nella provincia di Brescia,Cerveno – MappaPosizione del comune di Cerveno nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
