Salò comune,Salò comune.1
,
Salò – VedutaPanorama del golfo di Salò,Salò – VedutaPanorama del golfo di Salò
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Francesco Cagnini (lista civica di centro-sinistra Civica Salò) dal 10-6-2024
Territorio,Territorio
Coordinate,45°36′N 10°32′E
Altitudine,65 m s.l.m.
Superficie,"29,75[1] km²"
Abitanti,10 301[2] (30-11-2025)
Densità,"346,25 ab./km²"
Frazioni,"Barbarano, Campoverde, Cunettone, Renzano, San Bartolomeo, Serniga, Villa"
Comuni confinanti,"Gardone Riviera, Gavardo, Puegnago del Garda, Roè Volciano, San Felice del Benaco, Torri del Benaco (VR), Vobarno"
Altre informazioni,Altre informazioni
Cod. postale,25087
Prefisso,0365
Fuso orario,UTC+1
Codice ISTAT,017170
Cod. catastale,H717
Targa,BS
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 265 GG[4]"
Nome abitanti,salodiani
Patrono,san Carlo Borromeo
Giorno festivo,4 novembre
PIL procapite,(nominale) 15592
Cartografia,Cartografia
Salò,Salò
Salò – MappaPosizione del comune di Salò nella provincia di Brescia,Salò – MappaPosizione del comune di Salò nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
