Castenedolo comune,Castenedolo comune.1
,
Castenedolo – VedutaLa parrocchiale di San Bartolomeo,Castenedolo – VedutaLa parrocchiale di San Bartolomeo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Pierluigi Bianchini (centro-sinistra) dal 27-5-2019
Territorio,Territorio
Coordinate,45°28′13.44″N 10°17′48.12″E
Altitudine,152 m s.l.m.
Superficie,"26,2 km²"
Abitanti,11 658[1] (30-11-2025)
Densità,"444,96 ab./km²"
Frazioni,"Alpino, Bettole, Taetto, Capodimonte, Fornasette, Macina, Bodea, Santa Giustina, Finiletti"
Comuni confinanti,"Borgosatollo, Brescia, Calcinato, Ghedi, Mazzano, Montichiari, Rezzato"
Altre informazioni,Altre informazioni
Lingue,Italiano Lingua lombarda Dialetto bresciano
Cod. postale,25014
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017043
Cod. catastale,C293
Targa,BS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 399 GG[3]"
Nome abitanti,castenedolesi
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Castenedolo,Castenedolo
Castenedolo – MappaPosizione del comune di Castenedolo nella provincia di Brescia,Castenedolo – MappaPosizione del comune di Castenedolo nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
