Verolanuova comune,Verolanuova comune.1
,
"Verolanuova – VedutaPiazza della Libertà, principale piazza del paese","Verolanuova – VedutaPiazza della Libertà, principale piazza del paese"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Stefano Dotti (Lega Nord) dal 26-5-2014
Territorio,Territorio
Coordinate,45°19′33″N 10°04′33″E
Altitudine,64 m s.l.m.
Superficie,"25,76 km²"
Abitanti,8 156[1] (30-11-2025)
Densità,"316,61 ab./km²"
Frazioni,"Breda Libera, Cadignano"
Comuni confinanti,"Bassano Bresciano, Quinzano d'Oglio, Manerbio, Offlaga, Pontevico, San Paolo, Verolavecchia"
Altre informazioni,Altre informazioni
Cod. postale,25028
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017195
Cod. catastale,L777
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 403 GG[3]"
Nome abitanti,Verolesi
Patrono,San Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Verolanuova,Verolanuova
Verolanuova – MappaPosizione del comune di Verolanuova nella provincia di Brescia,Verolanuova – MappaPosizione del comune di Verolanuova nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
