Fiesse comune,Fiesse comune.1
,
Fiesse – VedutaChiesa di S. Lorenzo,Fiesse – VedutaChiesa di S. Lorenzo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Sergio Cavallini (centro-sinistra) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°13′56.64″N 10°19′30.72″E
Altitudine,39 m s.l.m.
Superficie,"16,02 km²"
Abitanti,2 093[1] (30-11-2025)
Densità,"130,65 ab./km²"
Frazioni,"Cadimarco, Cavezzo"
Comuni confinanti,"Asola (MN), Casalromano (MN), Gambara, Remedello, Volongo (CR)"
Altre informazioni,Altre informazioni
Cod. postale,25020
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017071
Cod. catastale,D576
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 396 GG[3]"
Nome abitanti,fiessesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Fiesse,Fiesse
Fiesse – MappaPosizione del comune di Fiesse nella provincia di Brescia,Fiesse – MappaPosizione del comune di Fiesse nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
