Ono San Pietro comune,Ono San Pietro comune.1
,
Ono San Pietro – Veduta,Ono San Pietro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Fiorenzo Formentelli (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,46°01′04″N 10°19′45″E
Altitudine,516 m s.l.m.
Superficie,"13,78 km²"
Abitanti,971[1] (30-11-2025)
Densità,"70,46 ab./km²"
Comuni confinanti,"Capo di Ponte, Cerveno, Ceto, Paisco Loveno"
Altre informazioni,Altre informazioni
Cod. postale,25050
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017124
Cod. catastale,G074
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 947 GG[3]"
Nome abitanti,Onesi
Patrono,sant'Alessandro di Bergamo
Cartografia,Cartografia
Ono San Pietro,Ono San Pietro
Ono San Pietro – MappaPosizione del comune di Ono San Pietro nella provincia di Brescia,Ono San Pietro – MappaPosizione del comune di Ono San Pietro nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
