Temù comune,Temù comune.1
,
Temù – VedutaPanorama di Temù,Temù – VedutaPanorama di Temù
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Corrado Tomasi (lista civica “Uniti per Temù”) dal 10-6-2024
Territorio,Territorio
Coordinate,46°14′58″N 10°28′08″E
Altitudine,1 144 m s.l.m.
Superficie,"43,26 km²"
Abitanti,1 155[1] (30-11-2025)
Densità,"26,7 ab./km²"
Frazioni,"Lecanù, Pontagna, Villa Dalegno"
Comuni confinanti,"Edolo, Ponte di Legno, Vezza d'Oglio, Vione"
Altre informazioni,Altre informazioni
Cod. postale,25050
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017184
Cod. catastale,L094
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 861 GG[3]"
Nome abitanti,temunesi
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Temù,Temù
Temù – MappaPosizione del comune di Temù nella provincia di Brescia,Temù – MappaPosizione del comune di Temù nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
