Manerbio comune,Manerbio comune.1
,
"Manerbio – VedutaPalazzo Luzzago, sede municipale","Manerbio – VedutaPalazzo Luzzago, sede municipale"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Paolo Vittorielli (centro-destra) dal 15-5-2023
Territorio,Territorio
Coordinate,45°22′N 10°08′E
Altitudine,64 m s.l.m.
Superficie,"27,88 km²"
Abitanti,13 624[1] (30-11-2025)
Densità,"488,67 ab./km²"
Comuni confinanti,"Bagnolo Mella, Bassano Bresciano, Cigole, Leno, Offlaga, San Gervasio Bresciano, Verolanuova"
Altre informazioni,Altre informazioni
Cod. postale,25025
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017103
Cod. catastale,E884
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 400 GG[3]"
Nome abitanti,manerbiesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Manerbio,Manerbio
Manerbio – MappaPosizione del comune di Manerbio nella provincia di Brescia,Manerbio – MappaPosizione del comune di Manerbio nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
