Villachiara comune,Villachiara comune.1
,
Villachiara – VedutaCastello di Villachiara,Villachiara – VedutaCastello di Villachiara
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Maria Laura Bonfiglio (lista civica Insieme per Villachiara) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°21′N 9°56′E
Altitudine,75 m s.l.m.
Superficie,"16,87 km²"
Abitanti,1 356[1] (30-11-2025)
Densità,"80,38 ab./km²"
Frazioni,"Bompensiero, Villabuona, Villagana"
Comuni confinanti,"Azzanello (CR), Borgo San Giacomo, Genivolta (CR), Orzinuovi, Soncino (CR)"
Altre informazioni,Altre informazioni
Cod. postale,25030
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017200
Cod. catastale,L923
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 320 GG[3]"
Nome abitanti,villaclarensi
Patrono,santa Chiara
Giorno festivo,11 agosto
Cartografia,Cartografia
Villachiara,Villachiara
Villachiara – MappaPosizione del comune di Villachiara nella provincia di Brescia,Villachiara – MappaPosizione del comune di Villachiara nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
