Treviso Bresciano comune,Treviso Bresciano comune.1
,
Treviso Bresciano – VedutaMunicipio,Treviso Bresciano – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Mauro Piccinelli (lista civica Comunità trevigiana) dal 26-5-2014
Territorio,Territorio
Coordinate,45°42′44.59″N 10°27′40.92″E
Altitudine,687 m s.l.m.
Superficie,"17,73 km²"
Abitanti,521[1] (30-11-2025)
Densità,"29,39 ab./km²"
Frazioni,"Facchetti, Trebbio (sede comunale), Vico[2]"
Comuni confinanti,"Capovalle, Idro, Lavenone, Provaglio Val Sabbia, Vestone, Vobarno"
Altre informazioni,Altre informazioni
Cod. postale,25070
Prefisso,0365
Fuso orario,UTC+1
Codice ISTAT,017191
Cod. catastale,L406
Targa,BS
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona F, 3 192 GG[4]"
Nome abitanti,trevigiani bresciani
Patrono,san Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Treviso Bresciano,Treviso Bresciano
Treviso Bresciano – MappaPosizione del comune di Treviso Bresciano nella provincia di Brescia,Treviso Bresciano – MappaPosizione del comune di Treviso Bresciano nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
