Passirano comune,Passirano comune.1
,
Passirano – VedutaLa parrocchiale di San Zenone,Passirano – VedutaLa parrocchiale di San Zenone
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Mariuccia Raccagni (centro-destra) dal 10-6-2024
Territorio,Territorio
Coordinate,45°36′N 10°04′E
Altitudine,250 m s.l.m.
Superficie,"13,39 km²"
Abitanti,6 850[1] (30-11-2025)
Densità,"511,58 ab./km²"
Frazioni,"Camignone, Monterotondo"
Comuni confinanti,"Castegnato, Cazzago San Martino, Corte Franca, Monticelli Brusati, Ospitaletto, Paderno Franciacorta, Provaglio d'Iseo, Rodengo-Saiano"
Altre informazioni,Altre informazioni
Cod. postale,25050 - 25040 (Camignone)
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017136
Cod. catastale,G361
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 510 GG[3]"
Nome abitanti,passiranesi
Patrono,san Zenone
Giorno festivo,seconda domenica di ottobre
Cartografia,Cartografia
Passirano,Passirano
Passirano – MappaPosizione del comune di Passirano nella provincia di Brescia,Passirano – MappaPosizione del comune di Passirano nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
