Sulzano comune,Sulzano comune.1
,
Sulzano – VedutaPanorama,Sulzano – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Paola Pezzotti[1] (lista civica Vivi Sulzano) dal 26-5-2014
Territorio,Territorio
Coordinate,45°41′N 10°06′E
Altitudine,200 m s.l.m.
Superficie,"10,44 km²"
Abitanti,1 932[2] (30-11-2025)
Densità,"185,06 ab./km²"
Frazioni,"Martignago, Tassano"
Comuni confinanti,"Iseo, Monte Isola, Polaveno, Sale Marasino"
Altre informazioni,Altre informazioni
Cod. postale,25058
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017182
Cod. catastale,L002
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 505 GG[4]"
Nome abitanti,sulzanesi
Patrono,san Giorgio
Cartografia,Cartografia
Sulzano,Sulzano
Sulzano – MappaPosizione del comune di Sulzano nella provincia di Brescia,Sulzano – MappaPosizione del comune di Sulzano nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
