Cevo comune,Cevo comune.1
,
Cevo – Veduta,Cevo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Simone Bresadola (lista civica “Sogno comune Cevo”) dal 10-6-2024
Territorio,Territorio
Coordinate,46°04′56″N 10°22′10″E
Altitudine,1 100 m s.l.m.
Superficie,"35,47 km²"
Abitanti,774[1] (30-11-2025)
Densità,"21,82 ab./km²"
Frazioni,"Andrista, Fresine, Isola"
Comuni confinanti,"Berzo Demo, Cedegolo, Ceto, Cimbergo, Saviore dell'Adamello, Sonico, Valdaone (TN)"
Altre informazioni,Altre informazioni
Cod. postale,25040
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017051
Cod. catastale,C591
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 739 GG[3]"
Nome abitanti,cevesi
Patrono,san Vigilio
Giorno festivo,26 giugno
Cartografia,Cartografia
Cevo,Cevo
Cevo – MappaPosizione del comune di Cevo nella provincia di Brescia,Cevo – MappaPosizione del comune di Cevo nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
