Collio comune,Collio comune.1
,
Collio – VedutaVeduta dalla località Tizio,Collio – VedutaVeduta dalla località Tizio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Mirella Zanini[1][2][3] (lista civica) dal 16-5-2011
Territorio,Territorio
Coordinate,45°48′40″N 10°20′00″E
Altitudine,850 m s.l.m.
Superficie,"53,48 km²"
Abitanti,1 958[4] (30-11-2025)
Densità,"36,61 ab./km²"
Frazioni,"Memmo, San Colombano, Tizio, Ivino"
Comuni confinanti,"Bagolino, Bienno, Bovegno, Lavenone, Marmentino, Pertica Alta, Pertica Bassa"
Altre informazioni,Altre informazioni
Cod. postale,25060
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017058
Cod. catastale,C883
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[5]
Cl. climatica,"zona F, 3 473 GG[6]"
Nome abitanti,colliensi
Patrono,SS. Nazario e Celso
Cartografia,Cartografia
Collio,Collio
Collio – MappaPosizione del comune di Collio nella provincia di Brescia,Collio – MappaPosizione del comune di Collio nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
