Vallio Terme comune,Vallio Terme comune.1
,
Vallio Terme – VedutaIl paese innevato,Vallio Terme – VedutaIl paese innevato
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Attilio Musesti (centro-destra) dal 10-6-2024
Territorio,Territorio
Coordinate,45°37′N 10°24′E
Altitudine,400 m s.l.m.
Superficie,"14,86 km²"
Abitanti,1 438[1] (30-11-2025)
Densità,"96,77 ab./km²"
Frazioni,"Case Nuove (sede comunale), Caschino, Cereto, Gazzino, Oriolo, Porle, Sconzane, Somagro, Sopranico, Vigle"
Comuni confinanti,"Agnosine, Caino, Gavardo, Odolo, Paitone, Sabbio Chiese, Serle"
Altre informazioni,Altre informazioni
Cod. postale,25080
Prefisso,0365
Fuso orario,UTC+1
Codice ISTAT,017193
Cod. catastale,L626
Targa,BS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 633 GG[3]"
Nome abitanti,valliesi
Cartografia,Cartografia
Vallio Terme,Vallio Terme
Vallio Terme – MappaPosizione del comune di Vallio Terme nella provincia di Brescia,Vallio Terme – MappaPosizione del comune di Vallio Terme nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
