Borgo San Giacomo comune,Borgo San Giacomo comune.1
,
Borgo San Giacomo – VedutaCastello di Padernello,Borgo San Giacomo – VedutaCastello di Padernello
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Davide Pellini (lista civica Per Borgo San Giacomo) dal 10-06-2024
Territorio,Territorio
Coordinate,45°20′52.73″N 9°58′05.41″E
Altitudine,74 m s.l.m.
Superficie,"29,53 km²"
Abitanti,5 580[1] (30-11-2025)
Densità,"188,96 ab./km²"
Frazioni,"Acqualunga, Farfengo, Motella, Padernello"
Comuni confinanti,"Azzanello (CR), Castelvisconti (CR), Orzinuovi, Quinzano d'Oglio, San Paolo, Verolanuova, Verolavecchia, Villachiara"
Altre informazioni,Altre informazioni
Lingue,Italiano
Cod. postale,25022
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017020
Cod. catastale,B035
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 477 GG[3]"
Nome abitanti,Gabianesi
Patrono,San Giacomo il Maggiore
Giorno festivo,25 luglio
Cartografia,Cartografia
Borgo San Giacomo,Borgo San Giacomo
Borgo San Giacomo – MappaPosizione del comune di Borgo San Giacomo nella provincia di Brescia,Borgo San Giacomo – MappaPosizione del comune di Borgo San Giacomo nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
