Gianico comune,Gianico comune.1
,
Gianico – Veduta,Gianico – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Mirco Pendoli (Insieme per Gianico) dal 10-6-2024
Territorio,Territorio
Coordinate,45°51′59″N 10°10′33″E
Altitudine,287 m s.l.m.
Superficie,"13,38 km²"
Abitanti,2 078[1] (30-11-2025)
Densità,"155,31 ab./km²"
Comuni confinanti,"Artogne, Bovegno, Darfo Boario Terme, Esine"
Altre informazioni,Altre informazioni
Cod. postale,25040
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017079
Cod. catastale,E010
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 606 GG[3]"
Nome abitanti,gianichesi
Patrono,san Michele Arcangelo Natività di Maria (Santuario Madonna del Monte)
Giorno festivo,29 settembre (san Michele) 8 settembre (Madonnina)
Cartografia,Cartografia
Gianico,Gianico
Gianico – MappaPosizione del comune di Gianico nella provincia di Brescia,Gianico – MappaPosizione del comune di Gianico nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
