Ospitaletto comune,Ospitaletto comune.1
,
Ospitaletto – VedutaChiesa Parrocchiale di San Giacomo Maggiore,Ospitaletto – VedutaChiesa Parrocchiale di San Giacomo Maggiore
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Laura Trecani (centro-destra) dal 15-05-2023
Territorio,Territorio
Coordinate,45°33′19″N 10°04′24″E
Altitudine,154 m s.l.m.
Superficie,"9,29 km²"
Abitanti,14 959[1] (30-11-2025)
Densità,"1 610,23 ab./km²"
Frazioni,Lovernato
Comuni confinanti,"Castegnato, Cazzago San Martino, Passirano, Travagliato"
Altre informazioni,Altre informazioni
Cod. postale,25035
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017127
Cod. catastale,G170
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 446 GG[3]"
Nome abitanti,ospitalettesi
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Ospitaletto,Ospitaletto
Ospitaletto – MappaPosizione del comune di Ospitaletto nella provincia di Brescia,Ospitaletto – MappaPosizione del comune di Ospitaletto nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
